property_id,property_name,market,asset_type,status,month,month_date,year,quarter,noi_monthly,occupancy,revenue,opex,debt_service_monthly,market,asset_type,status,property_name
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2022-01,2022-01-01,2022,Q1,188535.0,0.935,326725.0,124112.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2022-02,2022-02-01,2022,Q1,194176.0,0.943,326237.0,123126.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2022-03,2022-03-01,2022,Q1,204580.0,0.969,329967.0,125333.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2022-04,2022-04-01,2022,Q2,213195.0,0.985,330637.0,125223.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2022-05,2022-05-01,2022,Q2,222134.0,0.99,335067.0,127971.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2022-06,2022-06-01,2022,Q2,226330.0,0.99,338008.0,129592.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2022-07,2022-07-01,2022,Q3,224682.0,0.99,338910.0,129652.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2022-08,2022-08-01,2022,Q3,220351.0,0.99,341736.0,131186.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2022-09,2022-09-01,2022,Q3,213399.0,0.981,344193.0,132440.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2022-10,2022-10-01,2022,Q4,206221.0,0.963,346474.0,133559.0,188476.0,Dallas-Fort Worth,Multifamily,Value-Add,Dallas Multifamily 01
