property_id,property_name,market,asset_type,status,acquisition_date,purchase_price,current_value,sqft,noi_annual,cap_rate,occupancy_rate,loan_amount,interest_rate,annual_debt_service,dscr,ltv,latitude,longitude,unrealized_gain,appreciation_pct,going_in_yield,dscr_flag,occupancy_flag,cap_score,dscr_score,appr_score,occ_score,yield_score,total_score,decision,decision_reason,unrealized_gain,appreciation_pct,going_in_yield,dscr_flag,occupancy_flag
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Value-Add,2019-03-07,40868828,43978196.0,92097,2431695.0,0.0595,0.969,29574610.0,0.0665,2261718.0,1.08,0.724,32.7767,-96.797,3109368.0,7.6,5.53,At Risk,Strong,5,0,5,15,15,40,VALUE-ADD,Opportunity. Reposition or acquire at discount.,3109368.0,7.6,5.53,At Risk,Strong
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Stabilized,2021-07-08,39227216,47601538.0,77314,2553692.0,0.0651,0.945,25601784.0,0.0584,1719416.0,1.49,0.653,32.7767,-96.797,8374322.0,21.3,5.36,Healthy,Stable,15,20,15,15,10,75,HOLD,Strong performer. Stable income and healthy debt coverage.,8374322.0,21.3,5.36,Healthy,Stable
PROP-003,Denver Office 03,Denver,Office,Stabilized,2021-02-17,29429110,33872269.0,21703,2030609.0,0.069,0.976,20130248.0,0.0576,1333428.0,1.52,0.684,39.7392,-104.9903,4443159.0,15.1,5.99,Healthy,Strong,15,20,15,20,15,85,HOLD,Strong performer. Stable income and healthy debt coverage.,4443159.0,15.1,5.99,Healthy,Strong
PROP-004,Dallas Office 04,Dallas-Fort Worth,Office,Development,2020-08-23,43503389,50618817.0,110165,3093091.0,0.0711,0.977,31451783.0,0.0641,2318468.0,1.33,0.723,32.7767,-96.797,7115428.0,16.4,6.11,Healthy,Strong,20,15,15,20,15,85,HOLD,Strong performer. Stable income and healthy debt coverage.,7115428.0,16.4,6.11,Healthy,Strong
PROP-005,Denver Office 05,Denver,Office,Stabilized,2019-07-26,33808537,36308259.0,171349,2336170.0,0.0691,0.909,22130475.0,0.0589,1499008.0,1.56,0.655,39.7392,-104.9903,2499722.0,7.4,6.43,Healthy,Stable,15,20,5,10,15,65,SELL,Underperforming. Consider exit and capital redeployment.,2499722.0,7.4,6.43,Healthy,Stable
PROP-006,Phoenix Office 06,Phoenix,Office,Stabilized,2022-06-01,56966946,71497180.0,138858,3321173.0,0.0583,0.95,39052384.0,0.0664,2982040.0,1.11,0.686,33.4484,-112.074,14530234.0,25.5,4.65,At Risk,Strong,5,0,20,15,10,50,SELL,Underperforming. Consider exit and capital redeployment.,14530234.0,25.5,4.65,At Risk,Strong
PROP-007,Austin Industrial 07,Austin,Industrial,Stabilized,2020-04-14,70043515,87931527.0,62834,4384724.0,0.0626,0.936,52459254.0,0.0659,3975625.0,1.1,0.749,30.2672,-97.7431,17888012.0,25.5,4.99,At Risk,Stable,10,0,20,10,10,50,SELL,Underperforming. Consider exit and capital redeployment.,17888012.0,25.5,4.99,At Risk,Stable
PROP-008,Dallas Office 08,Dallas-Fort Worth,Office,Value-Add,2021-03-21,43935572,48934911.0,125162,2473573.0,0.0563,0.952,32570038.0,0.0646,2419628.0,1.02,0.741,32.7767,-96.797,4999339.0,11.4,5.05,At Risk,Strong,5,0,10,15,10,40,VALUE-ADD,Opportunity. Reposition or acquire at discount.,4999339.0,11.4,5.05,At Risk,Strong
PROP-009,Phoenix Industrial 09,Phoenix,Industrial,Value-Add,2021-01-11,26740864,35280475.0,89436,1601778.0,0.0599,0.938,18882708.0,0.0595,1292049.0,1.24,0.706,33.4484,-112.074,8539611.0,31.9,4.54,Watch,Stable,5,10,20,10,10,55,SELL,Underperforming. Consider exit and capital redeployment.,8539611.0,31.9,4.54,Watch,Stable
PROP-010,Austin Industrial 10,Austin,Industrial,Value-Add,2022-05-06,74238574,95591355.0,153569,4216751.0,0.0568,0.943,48604858.0,0.0569,3180459.0,1.33,0.655,30.2672,-97.7431,21352781.0,28.8,4.41,Healthy,Stable,5,15,20,15,5,60,SELL,Underperforming. Consider exit and capital redeployment.,21352781.0,28.8,4.41,Healthy,Stable
PROP-011,Dallas Retail 11,Dallas-Fort Worth,Retail,Development,2022-01-04,70820592,89674205.0,120039,4645831.0,0.0656,0.881,52910619.0,0.0696,4234966.0,1.1,0.747,32.7767,-96.797,18853613.0,26.6,5.18,At Risk,Below Target,15,0,20,5,10,50,SELL,Underperforming. Consider exit and capital redeployment.,18853613.0,26.6,5.18,At Risk,Below Target
PROP-012,Houston Office 12,Houston,Office,Development,2020-01-01,47392920,53507399.0,49242,3018929.0,0.0637,0.968,32955727.0,0.0712,2698415.0,1.12,0.695,29.7604,-95.3698,6114479.0,12.9,5.64,At Risk,Strong,10,0,10,15,15,50,SELL,Underperforming. Consider exit and capital redeployment.,6114479.0,12.9,5.64,At Risk,Strong
PROP-013,Denver Multifamily 13,Denver,Multifamily,Development,2019-01-02,48056581,52788458.0,183918,3450463.0,0.0718,0.917,33676432.0,0.0584,2261709.0,1.53,0.701,39.7392,-104.9903,4731877.0,9.8,6.54,Healthy,Stable,20,20,5,10,20,75,HOLD,Strong performer. Stable income and healthy debt coverage.,4731877.0,9.8,6.54,Healthy,Stable
PROP-014,Denver Office 14,Denver,Office,Stabilized,2022-03-07,10614124,11907303.0,148085,607128.0,0.0572,0.961,7284453.0,0.0718,601477.0,1.01,0.686,39.7392,-104.9903,1293179.0,12.2,5.1,At Risk,Strong,5,0,10,15,10,40,VALUE-ADD,Opportunity. Reposition or acquire at discount.,1293179.0,12.2,5.1,At Risk,Strong
PROP-015,Dallas Multifamily 15,Dallas-Fort Worth,Multifamily,Stabilized,2020-06-26,17289546,23065198.0,147399,1289800.0,0.0746,0.946,12159230.0,0.0571,798436.0,1.62,0.703,32.7767,-96.797,5775652.0,33.4,5.59,Healthy,Stable,20,20,20,15,15,90,HOLD,Strong performer. Stable income and healthy debt coverage.,5775652.0,33.4,5.59,Healthy,Stable
PROP-016,Denver Retail 16,Denver,Retail,Value-Add,2019-09-05,34998038,46193358.0,75521,2425364.0,0.0693,0.917,24145119.0,0.0664,1843721.0,1.32,0.69,39.7392,-104.9903,11195320.0,32.0,5.25,Healthy,Stable,15,15,20,10,10,70,HOLD,Strong performer. Stable income and healthy debt coverage.,11195320.0,32.0,5.25,Healthy,Stable
PROP-017,Austin Industrial 17,Austin,Industrial,Stabilized,2020-04-13,53377076,67380674.0,36784,2957090.0,0.0554,0.881,37651771.0,0.065,2814470.0,1.05,0.705,30.2672,-97.7431,14003598.0,26.2,4.39,At Risk,Below Target,5,0,20,5,5,35,VALUE-ADD,Opportunity. Reposition or acquire at discount.,14003598.0,26.2,4.39,At Risk,Below Target
PROP-018,Dallas Multifamily 18,Dallas-Fort Worth,Multifamily,Development,2022-03-26,17510312,22185666.0,106619,1143423.0,0.0653,0.934,11869325.0,0.0633,864028.0,1.32,0.678,32.7767,-96.797,4675354.0,26.7,5.15,Healthy,Stable,15,15,20,10,10,70,HOLD,Strong performer. Stable income and healthy debt coverage.,4675354.0,26.7,5.15,Healthy,Stable
PROP-019,Phoenix Industrial 19,Phoenix,Industrial,Development,2019-04-21,62634663,74541976.0,143987,3682918.0,0.0588,0.922,41319654.0,0.0623,2960347.0,1.24,0.66,33.4484,-112.074,11907313.0,19.0,4.94,Watch,Stable,5,10,15,10,10,50,SELL,Underperforming. Consider exit and capital redeployment.,11907313.0,19.0,4.94,Watch,Stable
PROP-020,Dallas Multifamily 20,Dallas-Fort Worth,Multifamily,Stabilized,2020-07-24,53540424,58469071.0,125544,3801370.0,0.071,0.934,35386307.0,0.0583,2372475.0,1.6,0.661,32.7767,-96.797,4928647.0,9.2,6.5,Healthy,Stable,20,20,5,10,20,75,HOLD,Strong performer. Stable income and healthy debt coverage.,4928647.0,9.2,6.5,Healthy,Stable
PROP-021,Phoenix Industrial 21,Phoenix,Industrial,Stabilized,2019-07-11,67476001,81792815.0,39761,4804291.0,0.0712,0.945,49635123.0,0.0567,3236458.0,1.48,0.736,33.4484,-112.074,14316814.0,21.2,5.87,Healthy,Stable,20,20,15,15,15,85,HOLD,Strong performer. Stable income and healthy debt coverage.,14316814.0,21.2,5.87,Healthy,Stable
PROP-022,Austin Industrial 22,Austin,Industrial,Value-Add,2020-06-27,73181648,76888051.0,126539,4727534.0,0.0646,0.896,53895725.0,0.0703,4357200.0,1.08,0.736,30.2672,-97.7431,3706403.0,5.1,6.15,At Risk,Below Target,10,0,5,5,15,35,VALUE-ADD,Opportunity. Reposition or acquire at discount.,3706403.0,5.1,6.15,At Risk,Below Target
