month,total_noi,avg_occupancy,total_revenue,total_debt_service,active_properties,portfolio_dscr
2022-01,11226221.0,0.865,19454671.0,9449862.0,50,1.19
2022-02,11653831.0,0.893,19579682.0,9449862.0,50,1.23
2022-03,12197065.0,0.931,19672681.0,9449862.0,50,1.29
2022-04,12747495.0,0.962,19769687.0,9449862.0,50,1.35
2022-05,13170282.0,0.978,19866023.0,9449862.0,50,1.39
2022-06,13388730.0,0.984,19995118.0,9449862.0,50,1.42
2022-07,13290976.0,0.977,20048090.0,9449862.0,50,1.41
2022-08,13002503.0,0.963,20165176.0,9449862.0,50,1.38
2022-09,12549773.0,0.93,20241568.0,9449862.0,50,1.33
2022-10,12134438.0,0.894,20387162.0,9449862.0,50,1.28
2022-11,11790821.0,0.865,20433108.0,9449862.0,50,1.25
2022-12,11712398.0,0.855,20533659.0,9449862.0,50,1.24
2023-01,11930394.0,0.866,20674964.0,9449862.0,50,1.26
2023-02,12335815.0,0.893,20725493.0,9449862.0,50,1.31
2023-03,12882350.0,0.928,20777982.0,9449862.0,50,1.36
2023-04,13505059.0,0.963,20944568.0,9449862.0,50,1.43
2023-05,13955144.0,0.978,21049918.0,9449862.0,50,1.48
2023-06,14151430.0,0.982,21134155.0,9449862.0,50,1.5
2023-07,14057876.0,0.978,21204869.0,9449862.0,50,1.49
2023-08,13731602.0,0.961,21295906.0,9449862.0,50,1.45
2023-09,13294907.0,0.93,21443396.0,9449862.0,50,1.41
2023-10,12788168.0,0.892,21485502.0,9449862.0,50,1.35
2023-11,12483504.0,0.866,21633498.0,9449862.0,50,1.32
2023-12,12407246.0,0.857,21751838.0,9449862.0,50,1.31
2024-01,12598542.0,0.866,21832856.0,9449862.0,50,1.33
2024-02,13033612.0,0.892,21897869.0,9449862.0,50,1.38
2024-03,13612736.0,0.928,21956025.0,9449862.0,50,1.44
2024-04,14251359.0,0.962,22101982.0,9449862.0,50,1.51
2024-05,14711249.0,0.978,22190419.0,9449862.0,50,1.56
2024-06,14953312.0,0.983,22331706.0,9449862.0,50,1.58
2024-07,14844198.0,0.978,22390960.0,9449862.0,50,1.57
2024-08,14481414.0,0.962,22458768.0,9449862.0,50,1.53
2024-09,14007946.0,0.93,22593461.0,9449862.0,50,1.48
2024-10,13563268.0,0.897,22787747.0,9449862.0,50,1.44
2024-11,13169881.0,0.868,22822973.0,9449862.0,50,1.39
2024-12,13035692.0,0.855,22853593.0,9449862.0,50,1.38
