property_id,month,noi_monthly,occupancy,revenue,opex,debt_service_monthly
PROP-001,2022-01,202245.0,0.967,326201.0,123956.0,188476.0
PROP-001,2022-01,201085.0,0.947,319538.0,121425.0,188476.0
PROP-001,2022-03,209431.0,0.976,329238.0,125111.0,188476.0
PROP-001,2022-04,202797.0,0.941,317564.0,120674.0,188476.0
PROP-001,2022-05,206584.0,0.963,324762.0,123410.0,188476.0
PROP-001,2022-05,206476.0,0.973,328103.0,124679.0,188476.0
PROP-001,2022-06,196892.0,0.942,317567.0,120675.0,188476.0
PROP-001,2022-07,201311.0,0.977,329640.0,125263.0,188476.0
PROP-001,2022-08,193062.0,0.948,319697.0,121485.0,188476.0
PROP-001,2022-09,196110.0,0.967,326090.0,123914.0,188476.0
PROP-001,2022-10,192051.0,0.943,318022.0,120848.0,188476.0
PROP-001,2022-11,198154.0,0.962,324470.0,123299.0,188476.0
PROP-001,2022-12,199135.0,0.952,321186.0,122051.0,188476.0
PROP-001,2023-01,203544.0,0.959,323445.0,122909.0,188476.0
PROP-001,2023-02,211165.0,0.984,331964.0,126146.0,188476.0
PROP-001,2023-03,207207.0,0.962,324470.0,123299.0,188476.0
PROP-001,2023-04,211050.0,0.984,331783.0,126077.0,188476.0
PROP-001,2023-05,209777.0,0.988,333350.0,126673.0,188476.0
PROP-001,2023-06,199629.0,0.955,321983.0,122353.0,188476.0
PROP-001,2023-07,194594.0,0.945,318642.0,121084.0,188476.0
PROP-001,2023-08,191685.0,0.941,317416.0,120618.0,188476.0
PROP-001,2023-09,197027.0,0.971,327614.0,124493.0,188476.0
PROP-001,2023-10,203297.0,0.99,336644.0,127925.0,188476.0
PROP-001,2023-11,197805.0,0.96,323898.0,123081.0,188476.0
PROP-001,2023-12,204467.0,0.978,329785.0,125318.0,188476.0
PROP-001,2024-01,209152.0,0.985,332356.0,126295.0,188476.0
PROP-001,2024-02,209799.0,0.978,329817.0,125330.0,188476.0
PROP-001,2024-03,211904.0,0.984,331826.0,126094.0,188476.0
PROP-001,2024-04,213515.0,0.99,335658.0,127550.0,188476.0
PROP-001,2024-05,201971.0,0.952,320945.0,121959.0,188476.0
PROP-001,2024-06,196810.0,0.941,317435.0,120625.0,188476.0
PROP-001,2024-07,195439.0,0.949,320024.0,121609.0,188476.0
PROP-001,2024-08,192950.0,0.947,319511.0,121414.0,188476.0
PROP-001,2024-09,198561.0,0.979,330164.0,125462.0,188476.0
PROP-001,2024-10,198134.0,0.973,328095.0,124676.0,188476.0
PROP-001,2024-11,196224.0,0.953,321310.0,122098.0,188476.0
PROP-002,2022-01,215355.0,0.956,347346.0,131991.0,143285.0
PROP-002,2022-01,219459.0,0.96,348735.0,132519.0,143285.0
PROP-002,2022-03,213985.0,0.926,336397.0,127831.0,143285.0
PROP-002,2022-04,220602.0,0.951,345447.0,131270.0,143285.0
PROP-002,2022-05,221584.0,0.959,348344.0,132371.0,143285.0
PROP-002,2022-05,211004.0,0.923,335300.0,127414.0,143285.0
PROP-002,2022-06,216885.0,0.963,349814.0,132929.0,143285.0
PROP-002,2022-07,215460.0,0.971,352809.0,134067.0,143285.0
PROP-002,2022-08,202405.0,0.923,335167.0,127364.0,143285.0
PROP-002,2022-09,200549.0,0.918,333470.0,126719.0,143285.0
PROP-002,2022-10,204940.0,0.934,339366.0,128959.0,143285.0
PROP-002,2022-11,211846.0,0.955,346891.0,131818.0,143285.0
PROP-002,2022-12,218658.0,0.971,352674.0,134016.0,143285.0
PROP-002,2023-01,214660.0,0.939,341110.0,129622.0,143285.0
PROP-002,2023-02,221153.0,0.957,347666.0,132113.0,143285.0
PROP-002,2023-03,213616.0,0.921,334506.0,127112.0,143285.0
PROP-002,2023-04,220834.0,0.956,347164.0,131922.0,143285.0
PROP-002,2023-05,217649.0,0.952,345859.0,131426.0,143285.0
PROP-002,2023-06,207725.0,0.922,335040.0,127315.0,143285.0
PROP-002,2023-07,213043.0,0.96,348850.0,132563.0,143285.0
PROP-002,2023-08,211635.0,0.965,350452.0,133172.0,143285.0
PROP-002,2023-09,207667.0,0.951,345306.0,131216.0,143285.0
PROP-002,2023-10,202566.0,0.924,335434.0,127465.0,143285.0
PROP-002,2023-11,215701.0,0.972,353203.0,134217.0,143285.0
PROP-002,2023-12,216416.0,0.961,349059.0,132642.0,143285.0
PROP-002,2024-01,214020.0,0.936,340091.0,129235.0,143285.0
PROP-002,2024-02,217398.0,0.941,341763.0,129870.0,143285.0
