property_id,property_name,market,asset_type,status,acquisition_date,purchase_price,current_value,sqft,noi_annual,cap_rate,occupancy_rate,loan_amount,interest_rate,annual_debt_service,dscr,ltv,latitude,longitude
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Stabilized,2022-04-24,40868828,48085304.0,92097,2431695.0,0.0595,0.969,29574610.0,0.0665,2261718.0,1.08,0.724,32.7767,-96.797
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Development,2021-05-09,39227216,43782758.0,77314,2553692.0,0.0651,0.945,25601784.0,0.0584,1719416.0,1.49,0.653,32.7767,-96.797
PROP-003,Denver Office 03,Denver,Office,Value-Add,2019-07-29,29429110,31719394.0,21703,2030609.0,0.069,0.976,20130248.0,0.0576,1333428.0,1.52,0.684,39.7392,-104.9903
PROP-004,Dallas Office 04,Dallas-Fort Worth,Office,Value-Add,2019-06-11,43503389,52883250.0,110165,3093091.0,0.0711,0.977,31451783.0,0.0641,2318468.0,1.33,0.723,32.7767,-96.797
PROP-005,Denver Office 05,Denver,Office,Stabilized,2020-04-21,33808537,44287327.0,171349,2336170.0,0.0691,0.909,22130475.0,0.0589,1499008.0,1.56,0.655,39.7392,-104.9903
PROP-006,Phoenix Office 06,Phoenix,Office,Development,2022-08-20,56966946,61035568.0,138858,3321173.0,0.0583,0.95,39052384.0,0.0664,2982040.0,1.11,0.686,33.4484,-112.074
PROP-007,Austin Industrial 07,Austin,Industrial,Development,2020-10-26,70043515,91256584.0,62834,4384724.0,0.0626,0.936,52459254.0,0.0659,3975625.0,1.1,0.749,30.2672,-97.7431
PROP-008,Dallas Industrial 08,Dallas-Fort Worth,Industrial,Development,2020-10-06,50339391,56067408.0,28414,3171382.0,0.063,0.937,33053794.0,0.0705,2679836.0,1.18,0.657,32.7767,-96.797
PROP-009,Phoenix Retail 09,Phoenix,Retail,Development,2022-04-12,69586053,82009261.0,188519,4029032.0,0.0579,0.934,46202567.0,0.0677,3597101.0,1.12,0.664,33.4484,-112.074
PROP-010,Denver Retail 10,Denver,Retail,Stabilized,2019-11-10,37436733,46355429.0,114895,2804011.0,0.0749,0.956,24851745.0,0.0634,1811941.0,1.55,0.664,39.7392,-104.9903
PROP-011,Phoenix Multifamily 11,Phoenix,Multifamily,Stabilized,2022-10-25,59220073,74985436.0,120864,3961823.0,0.0669,0.935,41264842.0,0.0593,2814056.0,1.41,0.697,33.4484,-112.074
PROP-012,Denver Office 12,Denver,Office,Development,2020-06-23,53657579,71985207.0,188024,3069214.0,0.0572,0.975,37210271.0,0.0627,2683047.0,1.14,0.693,39.7392,-104.9903
PROP-013,Austin Multifamily 13,Austin,Multifamily,Stabilized,2022-01-09,48056581,64205991.0,183918,3450463.0,0.0718,0.917,33676432.0,0.0584,2261709.0,1.53,0.701,30.2672,-97.7431
PROP-014,Denver Multifamily 14,Denver,Multifamily,Value-Add,2020-05-05,51507489,54977937.0,177009,3337685.0,0.0648,0.979,34056070.0,0.0612,2396866.0,1.39,0.661,39.7392,-104.9903
PROP-015,Denver Multifamily 15,Denver,Multifamily,Development,2021-08-31,73228535,97690864.0,42453,5221195.0,0.0713,0.893,54760185.0,0.0641,4036647.0,1.29,0.748,39.7392,-104.9903
PROP-016,Austin Office 16,Austin,Office,Development,2020-09-30,64792612,75787769.0,158326,4814091.0,0.0743,0.949,48133871.0,0.0678,3752998.0,1.28,0.743,30.2672,-97.7431
PROP-017,Houston Retail 17,Houston,Retail,Stabilized,2022-04-20,68597444,76559221.0,155679,3937493.0,0.0574,0.939,46129705.0,0.0607,3220084.0,1.22,0.672,29.7604,-95.3698
PROP-018,Dallas Multifamily 18,Dallas-Fort Worth,Multifamily,Development,2021-09-21,17046318,18994219.0,80015,1246086.0,0.0731,0.904,12545469.0,0.0562,810814.0,1.54,0.736,32.7767,-96.797
PROP-019,Austin Retail 19,Austin,Retail,Value-Add,2021-04-21,71481353,85070487.0,83700,5082324.0,0.0711,0.923,47823955.0,0.0566,3112861.0,1.63,0.669,30.2672,-97.7431
PROP-020,Dallas Multifamily 20,Dallas-Fort Worth,Multifamily,Development,2021-07-07,62038913,67749886.0,35889,4317908.0,0.0696,0.899,45292082.0,0.0569,2963687.0,1.46,0.73,32.7767,-96.797
PROP-021,Austin Office 21,Austin,Office,Stabilized,2019-04-14,41528453,51729646.0,141275,3010813.0,0.0725,0.966,27306556.0,0.0687,2157354.0,1.4,0.658,30.2672,-97.7431
PROP-022,Denver Multifamily 22,Denver,Multifamily,Stabilized,2019-12-04,39726318,46229196.0,44448,2316044.0,0.0583,0.92,27751380.0,0.0586,1870165.0,1.24,0.699,39.7392,-104.9903
PROP-023,Phoenix Office 23,Phoenix,Office,Development,2021-09-23,46285503,50749233.0,139277,2939129.0,0.0635,0.936,34516570.0,0.0719,2854003.0,1.03,0.746,33.4484,-112.074
PROP-024,Houston Industrial 24,Houston,Industrial,Development,2019-11-19,16181586,17266786.0,35331,1132711.0,0.07,0.93,10610533.0,0.0649,791917.0,1.43,0.656,29.7604,-95.3698
