property_id,property_name,market,asset_type,scenario,noi_adjusted,cap_rate_adj,value_adjusted,noi_delta_pct,scenario_score,scenario_decision
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Base,2431695.0,0.0595,40868824.0,0.0,40,VALUE-ADD
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Upside,2626231.0,0.057,46074228.0,8.0,50,SELL
PROP-001,Dallas Multifamily 01,Dallas-Fort Worth,Multifamily,Downside,2188526.0,0.0645,33930636.0,-10.0,25,VALUE-ADD
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Base,2553692.0,0.0651,39227220.0,0.0,75,HOLD
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Upside,2757987.0,0.0626,44057300.0,8.0,85,HOLD
PROP-002,Dallas Multifamily 02,Dallas-Fort Worth,Multifamily,Downside,2298323.0,0.0701,32786348.0,-10.0,60,SELL
PROP-003,Denver Office 03,Denver,Office,Base,2030609.0,0.069,29429116.0,0.0,85,HOLD
PROP-003,Denver Office 03,Denver,Office,Upside,2193058.0,0.0665,32978316.0,8.0,95,HOLD
PROP-003,Denver Office 03,Denver,Office,Downside,1827548.0,0.074,24696595.0,-10.0,70,HOLD
PROP-004,Dallas Office 04,Dallas-Fort Worth,Office,Base,3093091.0,0.0711,43503390.0,0.0,85,HOLD
PROP-004,Dallas Office 04,Dallas-Fort Worth,Office,Upside,3340538.0,0.0686,48695889.0,8.0,95,HOLD
PROP-004,Dallas Office 04,Dallas-Fort Worth,Office,Downside,2783782.0,0.0761,36580578.0,-10.0,70,HOLD
PROP-005,Denver Office 05,Denver,Office,Base,2336170.0,0.0691,33808538.0,0.0,65,SELL
PROP-005,Denver Office 05,Denver,Office,Upside,2523064.0,0.0666,37883844.0,8.0,75,HOLD
PROP-005,Denver Office 05,Denver,Office,Downside,2102553.0,0.0741,28374534.0,-10.0,50,SELL
PROP-006,Phoenix Office 06,Phoenix,Office,Base,3321173.0,0.0583,56966947.0,0.0,50,SELL
PROP-006,Phoenix Office 06,Phoenix,Office,Upside,3586867.0,0.0558,64280771.0,8.0,60,SELL
PROP-006,Phoenix Office 06,Phoenix,Office,Downside,2989056.0,0.0633,47220474.0,-10.0,35,VALUE-ADD
PROP-007,Austin Industrial 07,Austin,Industrial,Base,4384724.0,0.0626,70043514.0,0.0,50,SELL
PROP-007,Austin Industrial 07,Austin,Industrial,Upside,4735502.0,0.0601,78793710.0,8.0,60,SELL
PROP-007,Austin Industrial 07,Austin,Industrial,Downside,3946252.0,0.0676,58376509.0,-10.0,35,VALUE-ADD
PROP-008,Dallas Office 08,Dallas-Fort Worth,Office,Base,2473573.0,0.0563,43935577.0,0.0,40,VALUE-ADD
PROP-008,Dallas Office 08,Dallas-Fort Worth,Office,Upside,2671459.0,0.0538,49655372.0,8.0,50,SELL
PROP-008,Dallas Office 08,Dallas-Fort Worth,Office,Downside,2226216.0,0.0613,36316737.0,-10.0,25,VALUE-ADD
PROP-009,Phoenix Industrial 09,Phoenix,Industrial,Base,1601778.0,0.0599,26740868.0,0.0,55,SELL
PROP-009,Phoenix Industrial 09,Phoenix,Industrial,Upside,1729920.0,0.0574,30137979.0,8.0,65,SELL
PROP-009,Phoenix Industrial 09,Phoenix,Industrial,Downside,1441600.0,0.0649,22212635.0,-10.0,40,VALUE-ADD
PROP-010,Austin Industrial 10,Austin,Industrial,Base,4216751.0,0.0568,74238574.0,0.0,60,SELL
PROP-010,Austin Industrial 10,Austin,Industrial,Upside,4554091.0,0.0543,83869079.0,8.0,70,HOLD
PROP-010,Austin Industrial 10,Austin,Industrial,Downside,3795076.0,0.0618,61408997.0,-10.0,45,VALUE-ADD
PROP-011,Dallas Retail 11,Dallas-Fort Worth,Retail,Base,4645831.0,0.0656,70820595.0,0.0,50,SELL
PROP-011,Dallas Retail 11,Dallas-Fort Worth,Retail,Upside,5017497.0,0.0631,79516593.0,8.0,60,SELL
PROP-011,Dallas Retail 11,Dallas-Fort Worth,Retail,Downside,4181248.0,0.0706,59224476.0,-10.0,35,VALUE-ADD
PROP-012,Houston Office 12,Houston,Office,Base,3018929.0,0.0637,47392920.0,0.0,50,SELL
PROP-012,Houston Office 12,Houston,Office,Upside,3260443.0,0.0612,53275212.0,8.0,60,SELL
PROP-012,Houston Office 12,Houston,Office,Downside,2717036.0,0.0687,39549287.0,-10.0,35,VALUE-ADD
PROP-013,Denver Multifamily 13,Denver,Multifamily,Base,3450463.0,0.0718,48056588.0,0.0,75,HOLD
PROP-013,Denver Multifamily 13,Denver,Multifamily,Upside,3726500.0,0.0693,53773449.0,8.0,85,HOLD
PROP-013,Denver Multifamily 13,Denver,Multifamily,Downside,3105417.0,0.0768,40435117.0,-10.0,60,SELL
PROP-014,Denver Office 14,Denver,Office,Base,607128.0,0.0572,10614126.0,0.0,40,VALUE-ADD
PROP-014,Denver Office 14,Denver,Office,Upside,655698.0,0.0547,11987166.0,8.0,50,SELL
PROP-014,Denver Office 14,Denver,Office,Downside,546415.0,0.0622,8784807.0,-10.0,25,VALUE-ADD
PROP-015,Dallas Multifamily 15,Dallas-Fort Worth,Multifamily,Base,1289800.0,0.0746,17289544.0,0.0,90,HOLD
PROP-015,Dallas Multifamily 15,Dallas-Fort Worth,Multifamily,Upside,1392984.0,0.0721,19320166.0,8.0,100,HOLD
PROP-015,Dallas Multifamily 15,Dallas-Fort Worth,Multifamily,Downside,1160820.0,0.0796,14583166.0,-10.0,75,HOLD
PROP-016,Denver Retail 16,Denver,Retail,Base,2425364.0,0.0693,34998038.0,0.0,70,HOLD
PROP-016,Denver Retail 16,Denver,Retail,Upside,2619393.0,0.0668,39212470.0,8.0,80,HOLD
PROP-016,Denver Retail 16,Denver,Retail,Downside,2182828.0,0.0743,29378573.0,-10.0,55,SELL
PROP-017,Austin Industrial 17,Austin,Industrial,Base,2957090.0,0.0554,53377076.0,0.0,35,VALUE-ADD
PROP-017,Austin Industrial 17,Austin,Industrial,Upside,3193657.0,0.0529,60371588.0,8.0,45,VALUE-ADD
PROP-017,Austin Industrial 17,Austin,Industrial,Downside,2661381.0,0.0604,44062599.0,-10.0,20,VALUE-ADD
PROP-018,Dallas Multifamily 18,Dallas-Fort Worth,Multifamily,Base,1143423.0,0.0653,17510306.0,0.0,70,HOLD
PROP-018,Dallas Multifamily 18,Dallas-Fort Worth,Multifamily,Upside,1234897.0,0.0628,19663965.0,8.0,80,HOLD
PROP-018,Dallas Multifamily 18,Dallas-Fort Worth,Multifamily,Downside,1029081.0,0.0703,14638421.0,-10.0,55,SELL
PROP-019,Phoenix Industrial 19,Phoenix,Industrial,Base,3682918.0,0.0588,62634660.0,0.0,50,SELL
PROP-019,Phoenix Industrial 19,Phoenix,Industrial,Upside,3977551.0,0.0563,70649218.0,8.0,60,SELL
PROP-019,Phoenix Industrial 19,Phoenix,Industrial,Downside,3314626.0,0.0638,51953386.0,-10.0,35,VALUE-ADD
PROP-020,Dallas Multifamily 20,Dallas-Fort Worth,Multifamily,Base,3801370.0,0.071,53540423.0,0.0,75,HOLD
PROP-020,Dallas Multifamily 20,Dallas-Fort Worth,Multifamily,Upside,4105480.0,0.0685,59934015.0,8.0,85,HOLD
PROP-020,Dallas Multifamily 20,Dallas-Fort Worth,Multifamily,Downside,3421233.0,0.076,45016224.0,-10.0,60,SELL
PROP-021,Phoenix Industrial 21,Phoenix,Industrial,Base,4804291.0,0.0712,67475997.0,0.0,85,HOLD
PROP-021,Phoenix Industrial 21,Phoenix,Industrial,Upside,5188634.0,0.0687,75525968.0,8.0,95,HOLD
PROP-021,Phoenix Industrial 21,Phoenix,Industrial,Downside,4323862.0,0.0762,56743596.0,-10.0,70,HOLD
PROP-022,Austin Industrial 22,Austin,Industrial,Base,4727534.0,0.0646,73181641.0,0.0,35,VALUE-ADD
PROP-022,Austin Industrial 22,Austin,Industrial,Upside,5105737.0,0.0621,82217987.0,8.0,45,VALUE-ADD
PROP-022,Austin Industrial 22,Austin,Industrial,Downside,4254781.0,0.0696,61131911.0,-10.0,20,VALUE-ADD
PROP-023,Phoenix Office 23,Phoenix,Office,Base,4259888.0,0.0581,73319931.0,0.0,40,VALUE-ADD
PROP-023,Phoenix Office 23,Phoenix,Office,Upside,4600679.0,0.0556,82746025.0,8.0,50,SELL
PROP-023,Phoenix Office 23,Phoenix,Office,Downside,3833899.0,0.0631,60759097.0,-10.0,25,VALUE-ADD
PROP-024,Dallas Multifamily 24,Dallas-Fort Worth,Multifamily,Base,4686775.0,0.0651,71993472.0,0.0,70,HOLD
PROP-024,Dallas Multifamily 24,Dallas-Fort Worth,Multifamily,Upside,5061717.0,0.0626,80858099.0,8.0,80,HOLD
PROP-024,Dallas Multifamily 24,Dallas-Fort Worth,Multifamily,Downside,4218098.0,0.0701,60172582.0,-10.0,55,SELL
